TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,0400000US18,Indiana,87.0,"182,400","+/-2,006"
R2510,0400001US18,Indiana -- Urban,87.0,"176,000","+/-1,939"
R2510,0400043US18,Indiana -- Rural,87.0,"197,100","+/-4,145"
R2510,04000A0US18,Indiana -- In metropolitan or micropolitan statistical area,87.0,"185,300","+/-2,060"
R2510,04000C0US18,Indiana -- In metropolitan statistical area,87.0,"195,300","+/-2,109"
R2510,04000C1US18,Indiana -- In metropolitan statistical area -- in principal city,87.0,"164,300","+/-2,438"
R2510,04000C2US18,Indiana -- In metropolitan statistical area -- not in principal city,87.0,"214,600","+/-2,967"
R2510,04000E0US18,Indiana -- In micropolitan statistical area,87.0,"147,400","+/-3,469"
R2510,04000E1US18,Indiana -- In micropolitan statistical area -- in principal city,87.0,"110,700","+/-4,566"
R2510,04000E2US18,Indiana -- In micropolitan statistical area -- not in principal city,87.0,"164,900","+/-3,557"
R2510,04000G0US18,Indiana -- Not in metropolitan or micropolitan statistical area,87.0,"150,400","+/-4,786"
R2510,0500000US18003,"Allen County, Indiana",87.0,"171,500","+/-3,482"
R2510,0500000US18005,"Bartholomew County, Indiana",87.0,"191,100","+/-10,257"
R2510,0500000US18011,"Boone County, Indiana",87.0,"330,100","+/-33,815"
R2510,0500000US18019,"Clark County, Indiana",87.0,"188,300","+/-10,613"
R2510,0500000US18035,"Delaware County, Indiana",87.0,"113,000","+/-6,172"
R2510,0500000US18039,"Elkhart County, Indiana",87.0,"177,500","+/-9,166"
R2510,0500000US18043,"Floyd County, Indiana",87.0,"203,700","+/-11,919"
R2510,0500000US18053,"Grant County, Indiana",87.0,"108,900","+/-10,764"
R2510,0500000US18057,"Hamilton County, Indiana",87.0,"336,900","+/-9,581"
R2510,0500000US18059,"Hancock County, Indiana",87.0,"236,300","+/-14,321"
R2510,0500000US18063,"Hendricks County, Indiana",87.0,"265,000","+/-13,789"
R2510,0500000US18067,"Howard County, Indiana",87.0,"151,100","+/-10,606"
R2510,0500000US18081,"Johnson County, Indiana",87.0,"230,200","+/-12,351"
R2510,0500000US18085,"Kosciusko County, Indiana",87.0,"180,200","+/-11,840"
R2510,0500000US18089,"Lake County, Indiana",87.0,"201,100","+/-6,985"
R2510,0500000US18091,"LaPorte County, Indiana",87.0,"168,200","+/-11,309"
R2510,0500000US18095,"Madison County, Indiana",87.0,"137,000","+/-8,636"
R2510,0500000US18097,"Marion County, Indiana",87.0,"186,500","+/-4,118"
R2510,0500000US18105,"Monroe County, Indiana",87.0,"231,500","+/-11,239"
R2510,0500000US18109,"Morgan County, Indiana",87.0,"193,300","+/-15,253"
R2510,0500000US18127,"Porter County, Indiana",87.0,"257,100","+/-10,269"
R2510,0500000US18141,"St. Joseph County, Indiana",87.0,"161,200","+/-6,019"
R2510,0500000US18157,"Tippecanoe County, Indiana",87.0,"200,400","+/-12,907"
R2510,0500000US18163,"Vanderburgh County, Indiana",87.0,"155,100","+/-7,617"
R2510,0500000US18167,"Vigo County, Indiana",87.0,"130,900","+/-8,390"
R2510,0500000US18177,"Wayne County, Indiana",87.0,"120,500","+/-7,268"
R2510,0600000US1800366924,"St. Joseph township, Allen County, Indiana",87.0,"163,700","+/-6,002"
R2510,0600000US1800381620,"Wayne township, Allen County, Indiana",87.0,"113,200","+/-4,906"
R2510,0600000US1805713060,"Clay township, Hamilton County, Indiana",87.0,"391,300","+/-18,373"
R2510,0600000US1805722612,"Fall Creek township, Hamilton County, Indiana",87.0,"369,400","+/-25,392"
R2510,0600000US1805754198,"Noblesville township, Hamilton County, Indiana",87.0,"267,300","+/-28,005"
R2510,0600000US1808909820,"Calumet township, Lake County, Indiana",87.0,"120,900","+/-12,585"
R2510,0600000US1808954414,"North township, Lake County, Indiana",87.0,"165,600","+/-7,673"
R2510,0600000US1808966870,"St. John township, Lake County, Indiana",87.0,"275,400","+/-13,289"
R2510,0600000US1809711512,"Center township, Marion County, Indiana",87.0,"143,300","+/-15,908"
R2510,0600000US1809725504,"Franklin township, Marion County, Indiana",87.0,"229,600","+/-10,120"
R2510,0600000US1809742444,"Lawrence township, Marion County, Indiana",87.0,"196,100","+/-9,533"
R2510,0600000US1809759058,"Perry township, Marion County, Indiana",87.0,"192,500","+/-10,703"
R2510,0600000US1809759742,"Pike township, Marion County, Indiana",87.0,"176,400","+/-11,424"
R2510,0600000US1809780144,"Warren township, Marion County, Indiana",87.0,"159,900","+/-6,764"
R2510,0600000US1809780792,"Washington township, Marion County, Indiana",87.0,"287,600","+/-13,062"
R2510,0600000US1809781800,"Wayne township, Marion County, Indiana",87.0,"139,400","+/-14,304"
R2510,0600000US1814158734,"Penn township, St. Joseph County, Indiana",87.0,"151,300","+/-12,041"
R2510,0600000US1814161128,"Portage township, St. Joseph County, Indiana",87.0,"98,700","+/-8,098"
R2510,0600000US1816340212,"Knight township, Vanderburgh County, Indiana",87.0,"130,600","+/-12,537"
R2510,1600000US1805860,"Bloomington city, Indiana",87.0,"249,900","+/-28,820"
R2510,1600000US1810342,"Carmel city, Indiana",87.0,"391,300","+/-18,373"
R2510,1600000US1822000,"Evansville city, Indiana",87.0,"111,800","+/-9,441"
R2510,1600000US1823278,"Fishers city, Indiana",87.0,"333,300","+/-18,100"
R2510,1600000US1825000,"Fort Wayne city, Indiana",87.0,"155,600","+/-4,259"
R2510,1600000US1831000,"Hammond city, Indiana",87.0,"131,700","+/-7,920"
R2510,1600000US1836003,"Indianapolis city (balance), Indiana",87.0,"188,700","+/-4,241"
R2510,1600000US1840788,"Lafayette city, Indiana",87.0,"152,400","+/-12,662"
R2510,1600000US1854180,"Noblesville city, Indiana",87.0,"266,300","+/-22,183"
R2510,1600000US1871000,"South Bend city, Indiana",87.0,"114,100","+/-7,235"
R2510,310M600US26860,"Indiana, PA Micro Area",87.0,"121,900","+/-4,935"
R2510,310M600US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",87.0,"223,200","+/-3,590"
R2510,330M600US294,"Indianapolis-Carmel-Muncie, IN CSA",87.0,"209,200","+/-3,668"
R2510,400C100US41212,"Indianapolis, IN Urbanized Area (2010)",87.0,"227,300","+/-3,577"
R2510,5001600US1801,"Congressional District 1 (116th Congress), Indiana",87.0,"210,100","+/-5,632"
R2510,5001600US1802,"Congressional District 2 (116th Congress), Indiana",87.0,"164,000","+/-3,819"
R2510,5001600US1803,"Congressional District 3 (116th Congress), Indiana",87.0,"165,600","+/-3,080"
R2510,5001600US1804,"Congressional District 4 (116th Congress), Indiana",87.0,"188,200","+/-5,034"
R2510,5001600US1805,"Congressional District 5 (116th Congress), Indiana",87.0,"260,800","+/-7,119"
R2510,5001600US1806,"Congressional District 6 (116th Congress), Indiana",87.0,"167,500","+/-3,538"
R2510,5001600US1807,"Congressional District 7 (116th Congress), Indiana",87.0,"168,700","+/-3,127"
R2510,5001600US1808,"Congressional District 8 (116th Congress), Indiana",87.0,"152,000","+/-3,892"
R2510,5001600US1809,"Congressional District 9 (116th Congress), Indiana",87.0,"195,500","+/-4,619"
R2510,7950000US1800101,"Lake County (Northwest)--Hammond & East Chicago Cities PUMA, Indiana",87.0,"126,500","+/-7,813"
R2510,7950000US1800102,"Lake County (Northeast)--Gary City & Griffith Town PUMA, Indiana",87.0,"123,800","+/-10,644"
R2510,7950000US1800103,"Lake County (Central) PUMA, Indiana",87.0,"219,500","+/-7,732"
R2510,7950000US1800104,"Lake County (South) PUMA, Indiana",87.0,"271,100","+/-9,895"
R2510,7950000US1800200,"Porter County PUMA, Indiana",87.0,"257,100","+/-10,269"
R2510,7950000US1800300,"LaPorte County PUMA, Indiana",87.0,"168,200","+/-11,309"
R2510,7950000US1800401,"St. Joseph County (North)--South Bend City PUMA, Indiana",87.0,"118,400","+/-7,991"
R2510,7950000US1800402,"St. Joseph County (Outside South Bend City)--Mishawaka City PUMA, Indiana",87.0,"193,500","+/-11,265"
R2510,7950000US1800500,"Elkhart County--Elkhart & Goshen Cities PUMA, Indiana",87.0,"177,500","+/-9,166"
R2510,7950000US1800600,"Noble, DeKalb, LaGrange & Steuben Counties PUMA; Indiana",87.0,"169,500","+/-6,715"
R2510,7950000US1800700,"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",87.0,"164,800","+/-7,658"
R2510,7950000US1800800,"Kosciusko & Marshall Counties PUMA, Indiana",87.0,"174,200","+/-10,302"
R2510,7950000US1800900,"Huntington, Whitley, Adams & Wells Counties PUMA; Indiana",87.0,"153,900","+/-6,304"
R2510,7950000US1801001,"Allen County (Central)--Fort Wayne City (South) PUMA, Indiana",87.0,"135,100","+/-7,847"
R2510,7950000US1801002,"Allen County (Central)--Fort Wayne City (North) PUMA, Indiana",87.0,"155,500","+/-4,774"
R2510,7950000US1801003,"Allen County (Outside Fort Wayne City) PUMA, Indiana",87.0,"240,500","+/-12,009"
R2510,7950000US1801100,"Montgomery, Clinton, White, Carroll & Benton Counties PUMA; Indiana",87.0,"151,700","+/-7,430"
R2510,7950000US1801200,"Tippecanoe County--Lafayette & West Lafayette Cities PUMA, Indiana",87.0,"200,400","+/-12,907"
R2510,7950000US1801300,"Howard, Cass & Tipton Counties--Kokomo City PUMA; Indiana",87.0,"137,000","+/-7,634"
R2510,7950000US1801400,"Grant, Miami & Wabash Counties PUMA; Indiana",87.0,"120,700","+/-6,817"
R2510,7950000US1801500,"Henry, Randolph, Jay & Blackford Counties PUMA; Indiana",87.0,"111,100","+/-6,890"
R2510,7950000US1801600,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA; Indiana",87.0,"113,500","+/-8,277"
R2510,7950000US1801700,"Vigo County--Terre Haute City PUMA, Indiana",87.0,"130,900","+/-8,390"
R2510,7950000US1801801,"Boone & Hamilton (Northwest) Counties PUMA, Indiana",87.0,"332,600","+/-22,572"
R2510,7950000US1801802,"Hamilton County (Central)--Carmel City & Fishers Town (West) PUMA, Indiana",87.0,"352,000","+/-12,396"
R2510,7950000US1801803,"Hamilton County (East)--Noblesville City & Fishers Town (East) PUMA, Indiana",87.0,"324,000","+/-17,921"
R2510,7950000US1801900,"Madison County--Anderson City PUMA, Indiana",87.0,"137,000","+/-8,636"
R2510,7950000US1802000,"Delaware County--Muncie City PUMA, Indiana",87.0,"113,000","+/-6,172"
R2510,7950000US1802100,"Morgan, Putnam & Brown Counties PUMA; Indiana",87.0,"185,600","+/-11,068"
R2510,7950000US1802200,"Hendricks County PUMA, Indiana",87.0,"265,000","+/-13,789"
R2510,7950000US1802301,"Marion County--Pike & Washington (Northwest) Townships--Indianapolis City (Northwest) PUMA, Indiana",87.0,"187,300","+/-9,992"
R2510,7950000US1802302,"Marion County--Washington Township (South & East)--Indianapolis City (North) PUMA, Indiana",87.0,"295,300","+/-16,233"
R2510,7950000US1802303,"Marion County--Lawrence Township--Indianapolis (Northeast) & Lawrence Cities PUMA, Indiana",87.0,"196,100","+/-9,533"
R2510,7950000US1802304,"Marion County--Wayne & Decatur (Northwest) Townships--Indianapolis City (West) PUMA, Indiana",87.0,"138,400","+/-14,158"
R2510,7950000US1802305,"Marion County--Center Township--Indianapolis City (Central) PUMA, Indiana",87.0,"143,300","+/-15,908"
R2510,7950000US1802306,"Marion County--Warren & Franklin Townships--Indianapolis City (East & Southeast) PUMA, Indiana",87.0,"178,900","+/-13,162"
R2510,7950000US1802307,"Marion County--Perry & Decatur (South & East) Townships--Indianapolis City (South) PUMA, Indiana",87.0,"187,700","+/-9,384"
R2510,7950000US1802400,"Johnson County--Greenwood City PUMA, Indiana",87.0,"230,200","+/-12,351"
R2510,7950000US1802500,"Hancock & Shelby Counties PUMA, Indiana",87.0,"222,500","+/-12,139"
R2510,7950000US1802600,"Wayne, Fayette, Rush & Union Counties PUMA; Indiana",87.0,"124,200","+/-8,303"
R2510,7950000US1802700,"Greene, Daviess, Owen, Orange & Martin Counties PUMA; Indiana",87.0,"139,500","+/-14,245"
R2510,7950000US1802800,"Monroe County--Bloomington City PUMA, Indiana",87.0,"231,500","+/-11,239"
R2510,7950000US1802900,"Bartholomew & Jackson Counties--Columbus City PUMA, Indiana",87.0,"180,500","+/-8,651"
R2510,7950000US1803000,"Jefferson, Jennings, Decatur & Scott Counties PUMA; Indiana",87.0,"169,700","+/-13,639"
R2510,7950000US1803100,"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",87.0,"204,200","+/-14,192"
R2510,7950000US1803200,"Warrick, Gibson & Posey Counties PUMA; Indiana",87.0,"188,600","+/-15,995"
R2510,7950000US1803300,"Vanderburgh County--Evansville City PUMA, Indiana",87.0,"155,100","+/-7,617"
R2510,7950000US1803400,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA; Indiana",87.0,"149,400","+/-9,615"
R2510,7950000US1803500,"Floyd, Harrison & Washington Counties PUMA; Indiana",87.0,"195,600","+/-9,714"
R2510,7950000US1803600,"Clark County--Jeffersonville City PUMA, Indiana",87.0,"188,300","+/-10,613"
R2510,9700000US1800150,"Anderson Community School Corporation, Indiana",87.0,"118,900","+/-9,069"
R2510,9700000US1800360,"Bartholomew County School Corporation, Indiana",87.0,"192,800","+/-10,299"
R2510,9700000US1800630,"Monroe County Community School Corporation, Indiana",87.0,"237,400","+/-13,513"
R2510,9700000US1801200,"Carmel Clay Schools, Indiana",87.0,"391,300","+/-18,373"
R2510,9700000US1802850,"East Allen County Schools, Indiana",87.0,"161,000","+/-8,503"
R2510,9700000US1803270,"Elkhart Community Schools, Indiana",87.0,"159,600","+/-14,142"
R2510,9700000US1803450,"Evansville-Vanderburgh School Corporation, Indiana",87.0,"155,100","+/-7,617"
R2510,9700000US1803630,"Fort Wayne Community Schools, Indiana",87.0,"144,700","+/-4,546"
R2510,9700000US1803940,"Greater Clark County Schools, Indiana",87.0,"186,400","+/-13,556"
R2510,9700000US1804320,"Hammond School City, Indiana",87.0,"131,600","+/-7,930"
R2510,9700000US1804770,"Indianapolis Public Schools, Indiana",87.0,"160,400","+/-7,789"
R2510,9700000US1805450,"Lake Central School Corporation, Indiana",87.0,"275,400","+/-13,289"
R2510,9700000US1805670,"Lawrence Township Metropolitan School District, Indiana",87.0,"210,500","+/-14,336"
R2510,9700000US1807410,"New Albany-Floyd County Consolidated Schools, Indiana",87.0,"203,700","+/-11,919"
R2510,9700000US1807650,"Noblesville Schools, Indiana",87.0,"267,300","+/-28,005"
R2510,9700000US1808820,"Perry Township Metropolitan School District, Indiana",87.0,"198,600","+/-12,087"
R2510,9700000US1808910,"Pike Township Metropolitan School District, Indiana",87.0,"177,700","+/-11,179"
R2510,9700000US1810290,"South Bend Community School Corporation, Indiana",87.0,"147,600","+/-8,063"
R2510,9700000US1810650,"Hamilton Southeastern Schools, Indiana",87.0,"325,100","+/-19,849"
R2510,9700000US1811340,"Tippecanoe School Corporation, Indiana",87.0,"226,500","+/-16,848"
R2510,9700000US1812090,"Vigo County School Corporation, Indiana",87.0,"130,900","+/-8,390"
R2510,9700000US1812360,"Warren Township Metropolitan School District, Indiana",87.0,"164,300","+/-9,692"
R2510,9700000US1812720,"Washington Township Metropolitan School District, Indiana",87.0,"273,900","+/-15,792"
R2510,9700000US1812810,"Wayne Township Metropolitan School District, Indiana",87.0,"154,000","+/-9,979"
