County,Days on Market,MoM %,YoY %
DeKalb County,29,-39.58,-12.12
Whitley County,30,-50.0,-14.29
Tippecanoe County,33,-50.75,6.45
Montgomery County,37,-33.93,-28.85
LaGrange County,40,-53.49,-33.33
Adams County,44,-35.29,100.0
Hamilton County,44,-35.29,41.94
St. Joseph County,44,-24.14,-12.0
Howard County,45,-44.44,12.5
Allen County,46,-20.69,4.55
Clark County,46,-11.54,15.0
Elkhart County,46,-24.59,-13.21
Huntington County,46,-14.81,12.2
Martin County,46,-54.0,-39.47
Warren County,47,-17.54,-47.19
