County,For Sale,For Sale YoY %,For Rent,For Rent MoM %
Marion County,4220,14.45,1822,-2.69
Lake County,2508,5.46,713,7.69
Hamilton County,1912,22.99,347,-3.14
Allen County,1681,4.07,397,-3.14
St. Joseph County,1212,-14.86,196,20.0
Hendricks County,1019,14.85,144,20.65
Clark County,967,19.92,101,-6.25
Johnson County,948,14.24,143,-3.31
Porter County,947,-10.77,242,-6.23
Vanderburgh County,842,11.19,189,0.0
Hancock County,839,31.61,95,-1.39
Monroe County,747,22.03,781,5.49
Madison County,673,19.3,211,0.88
LaPorte County,559,-5.94,132,-19.08
Elkhart County,527,-2.47,90,57.89
